bokeh,original
./Training/bokeh/0.jpg,./Training/original/0.jpg
./Training/bokeh/1.jpg,./Training/original/1.jpg
./Training/bokeh/2.jpg,./Training/original/2.jpg
./Training/bokeh/3.jpg,./Training/original/3.jpg
./Training/bokeh/4.jpg,./Training/original/4.jpg
./Training/bokeh/5.jpg,./Training/original/5.jpg
./Training/bokeh/6.jpg,./Training/original/6.jpg
./Training/bokeh/7.jpg,./Training/original/7.jpg
./Training/bokeh/8.jpg,./Training/original/8.jpg
./Training/bokeh/9.jpg,./Training/original/9.jpg
./Training/bokeh/10.jpg,./Training/original/10.jpg
./Training/bokeh/11.jpg,./Training/original/11.jpg
./Training/bokeh/12.jpg,./Training/original/12.jpg
./Training/bokeh/13.jpg,./Training/original/13.jpg
./Training/bokeh/14.jpg,./Training/original/14.jpg
./Training/bokeh/15.jpg,./Training/original/15.jpg
./Training/bokeh/16.jpg,./Training/original/16.jpg
./Training/bokeh/17.jpg,./Training/original/17.jpg
./Training/bokeh/18.jpg,./Training/original/18.jpg
./Training/bokeh/19.jpg,./Training/original/19.jpg
./Training/bokeh/20.jpg,./Training/original/20.jpg
./Training/bokeh/21.jpg,./Training/original/21.jpg
./Training/bokeh/22.jpg,./Training/original/22.jpg
./Training/bokeh/23.jpg,./Training/original/23.jpg
./Training/bokeh/24.jpg,./Training/original/24.jpg
./Training/bokeh/25.jpg,./Training/original/25.jpg
./Training/bokeh/26.jpg,./Training/original/26.jpg
./Training/bokeh/27.jpg,./Training/original/27.jpg
./Training/bokeh/28.jpg,./Training/original/28.jpg
./Training/bokeh/29.jpg,./Training/original/29.jpg
./Training/bokeh/30.jpg,./Training/original/30.jpg
./Training/bokeh/31.jpg,./Training/original/31.jpg
./Training/bokeh/32.jpg,./Training/original/32.jpg
./Training/bokeh/33.jpg,./Training/original/33.jpg
./Training/bokeh/34.jpg,./Training/original/34.jpg
./Training/bokeh/35.jpg,./Training/original/35.jpg
./Training/bokeh/36.jpg,./Training/original/36.jpg
./Training/bokeh/37.jpg,./Training/original/37.jpg
./Training/bokeh/38.jpg,./Training/original/38.jpg
./Training/bokeh/39.jpg,./Training/original/39.jpg
./Training/bokeh/40.jpg,./Training/original/40.jpg
./Training/bokeh/41.jpg,./Training/original/41.jpg
./Training/bokeh/42.jpg,./Training/original/42.jpg
./Training/bokeh/43.jpg,./Training/original/43.jpg
./Training/bokeh/44.jpg,./Training/original/44.jpg
./Training/bokeh/45.jpg,./Training/original/45.jpg
./Training/bokeh/46.jpg,./Training/original/46.jpg
./Training/bokeh/47.jpg,./Training/original/47.jpg
./Training/bokeh/48.jpg,./Training/original/48.jpg
./Training/bokeh/49.jpg,./Training/original/49.jpg
./Training/bokeh/50.jpg,./Training/original/50.jpg
./Training/bokeh/51.jpg,./Training/original/51.jpg
./Training/bokeh/52.jpg,./Training/original/52.jpg
./Training/bokeh/53.jpg,./Training/original/53.jpg
./Training/bokeh/54.jpg,./Training/original/54.jpg
./Training/bokeh/55.jpg,./Training/original/55.jpg
./Training/bokeh/56.jpg,./Training/original/56.jpg
./Training/bokeh/57.jpg,./Training/original/57.jpg
./Training/bokeh/58.jpg,./Training/original/58.jpg
./Training/bokeh/59.jpg,./Training/original/59.jpg
./Training/bokeh/60.jpg,./Training/original/60.jpg
./Training/bokeh/61.jpg,./Training/original/61.jpg
./Training/bokeh/62.jpg,./Training/original/62.jpg
./Training/bokeh/63.jpg,./Training/original/63.jpg
./Training/bokeh/64.jpg,./Training/original/64.jpg
./Training/bokeh/65.jpg,./Training/original/65.jpg
./Training/bokeh/66.jpg,./Training/original/66.jpg
